ID Conexion unico;Usuario;Inicio de Conexion;Fin de Conexio;Session Time;Input Octects;Output Octects;MAC AP;MAC Cliente;
f10be9301bcb139a;csegeview;28/08/2019 10:06;28/08/2019 10:06;12;2354;559;04-18-D6-22-94-E7:UM;48-C7-96-EE-75-1C;
9c79c33655402769;invitede-pansew;28/08/2019 10:06;28/08/2019 10:16;607;26668;4504;04-18-D6-82-C5-46:UM;48-C7-96-31-BA-ED;
de16217fd034fa68;invitede-pansew;28/08/2019 10:06;28/08/2019 10:10;236;3531;2708;04-18-D6-82-C5-46:UM;30-4B-07-8A-CF-DF;
01937968f39ee714;csegeview;28/08/2019 10:06;02/10/2019 11:02;11;0;0;04-18-D6-22-8E-6D:UM;48-C7-96-EE-75-1C;
b83a1489ae7fbdc5;invitede-pansew;28/08/2019 10:06;26/09/2019 12:48;119;184328;3323107;04-18-D6-21-38-E1:UM;60-1D-91-78-43-74;
98dfb4d9973c5926;ppriow;28/08/2019 10:06;29/08/2019 11:47;165;0;0;04-18-D6-22-9B-4C:UM;5C-93-A2-81-C9-D1;
cd01c0cab7ec91d1;rmensur;28/08/2019 10:07;28/08/2019 10:07;37;5682;5099;04-18-D6-22-8E-6D:UM;DC-CF-96-B2-81-0E;
7f54308a9c004925;csegeview;28/08/2019 10:07;28/08/2019 10:07;1;424;334;04-18-D6-22-94-E7:UM;48-C7-96-EE-75-1C;
2ea391d514ff6012;csegeview;28/08/2019 10:07;28/08/2019 10:07;19;4954;7428;04-18-D6-22-8E-6D:UM;48-C7-96-EE-75-1C;
28d04e4d61c140bf;umd;28/08/2019 10:10;28/08/2019 10:21;654;66055;34344;DC-9F-DB-12-F4-A9:UM;F0-D7-AA-42-DB-2A;
92746d1378bd172e;umd;28/08/2019 10:10;26/09/2019 12:56;26;20486;11163;04-18-D6-21-38-E1:UM;88-B4-A6-63-87-30;
a29052e9aebddbc6;umd;28/08/2019 10:10;28/08/2019 10:12;92;28907;22408;DC-9F-DB-12-F3-EA:UM;88-B4-A6-63-87-30;
bc3f6d63099c3699;invitede-pansew;28/08/2019 10:10;28/08/2019 10:11;80;6734;11329;DC-9F-DB-12-F4-A9:UM;D4-C9-4B-0F-94-5B;
b83dd222265051af;invitede-pansew;28/08/2019 10:10;28/08/2019 10:16;362;23573;32254;04-18-D6-C2-0A-F7:UM;30-4B-07-8A-CF-DF;
733f9476742e633e;invitede-pansew;28/08/2019 10:10;23/09/2019 11:53;6;6981;5030;DC-9F-DB-12-F3-EA:UM;58-D9-C3-3B-E7-91;
e65f2631f48b0458;ppriow;28/08/2019 10:10;29/08/2019 13:07;13;0;0;04-18-D6-22-9B-4C:UM;50-82-D5-B0-28-D5;
e4b3550f267dd096;invitede-pansew;28/08/2019 10:10;28/08/2019 10:16;348;4294967296;4294967296;04-18-D6-C2-0A-F7:UM;B4-BF-F6-DD-78-C3;
8aca02fb7b7b6056;rmensur;28/08/2019 10:11;28/08/2019 10:24;797;130305;341962;04-18-D6-22-94-E7:UM;DC-CF-96-B2-81-0E;
17bde8fb0561fb42;invitede-pansew;28/08/2019 10:11;28/08/2019 10:15;258;27650;75088;DC-9F-DB-12-F4-A9:UM;48-C7-96-31-BA-ED;
69828c7863bc6ceb;pbenitezw;28/08/2019 10:11;28/08/2019 10:14;203;0;0;04-18-D6-21-8D-DF:UM;B4-BF-F6-7C-B3-68;
2374f922ccbaff94;invitede-pansew;28/08/2019 10:11;26/09/2019 12:57;14;97040;51500;04-18-D6-21-38-E1:UM;60-1D-91-78-43-74;
aa0e506ebddf0e90;peble.ceia;28/08/2019 10:11;28/08/2019 10:14;175;38593;35855;DC-9F-DB-12-F4-A9:UM;94-B1-0A-D2-EB-8A;
b9362756f64daf2b;ppriow;28/08/2019 10:11;28/08/2019 10:12;81;0;0;04-18-D6-21-9B-4C:UM;50-82-D5-B0-28-D5;
a525051ae55a0cee;invitede-pansew;28/08/2019 10:11;26/09/2019 12:59;77;14788;26598;04-18-D6-21-38-E1:UM;58-D9-C3-3B-E7-91;
75050687f4248c96;invitede-pansew;28/08/2019 10:11;28/08/2019 11:27;4544;0;0;04-18-D6-21-8D-DF:UM;D4-C9-4B-0F-94-5B;
0daa9d4041f0b368;invitede-pansew;28/08/2019 10:11;26/09/2019 10:44;685;152141;69998;04-18-D6-22-38-E1:UM;58-D9-C3-3B-E7-91;
06d24780903bd8cd;hcesedew;28/08/2019 10:12;28/08/2019 10:20;492;0;0;04-18-D6-21-9B-4C:UM;D4-C9-4B-F1-18-2D;
ea393fa13966a1ad;invitede-pansew;28/08/2019 10:12;26/09/2019 13:20;281;2075;3390;04-18-D6-21-38-E1:UM;58-D9-C3-3B-E7-91;
46f6159df6154825;ppriow;28/08/2019 10:12;28/08/2019 10:14;84;1247567;8913796;04-18-D6-22-9B-4C:UM;50-82-D5-B0-28-D5;
